|employee_id|department_id|first_name |last_name  |salary|job_id    |level|
|-----------|-------------|-----------|-----------|------|----------|-----|
|100        |90           |Steven     |King       |24 000|AD_PRES   |high |
|101        |90           |Neena      |Kochhar    |17 000|AD_VP     |high |
|102        |90           |Lex        |De Haan    |17 000|AD_VP     |high |
|103        |60           |Alexander  |Hunold     |9 000 |IT_PROG   |midl |
|104        |60           |Bruce      |Ernst      |6 000 |IT_PROG   |midl |
|106        |60           |Valli      |Pataballa  |4 800 |IT_PROG   |low  |
|107        |60           |Diana      |Lorentz    |4 200 |IT_PROG   |low  |
|108        |100          |Nancy      |Greenberg  |12 000|FI_MGR    |high |
|109        |100          |Daniel     |Faviet     |9 000 |FI_ACCOUNT|midl |
|110        |100          |John       |Chen       |8 200 |FI_ACCOUNT|midl |
|111        |100          |Ismael     |Sciarra    |7 700 |FI_ACCOUNT|midl |
|112        |100          |Jose Manuel|Urman      |7 800 |FI_ACCOUNT|midl |
|113        |100          |Luis       |Popp       |6 900 |FI_ACCOUNT|midl |
|115        |30           |Alexander  |Khoo       |3 100 |PU_CLERK  |low  |
|118        |30           |Guy        |Himuro     |2 600 |PU_CLERK  |low  |
|119        |30           |Karen      |Colmenares |2 500 |PU_CLERK  |low  |
|120        |50           |Matthew    |Weiss      |8 000 |ST_MAN    |midl |
|121        |50           |Adam       |Fripp      |8 200 |ST_MAN    |midl |
|122        |50           |Payam      |Kaufling   |7 900 |ST_MAN    |midl |
|123        |50           |Shanta     |Vollman    |6 500 |ST_MAN    |midl |
|124        |50           |Kevin      |Mourgos    |5 800 |ST_MAN    |midl |
|128        |50           |Steven     |Markle     |2 200 |ST_CLERK  |low  |
|129        |50           |Laura      |Bissot     |3 300 |ST_CLERK  |low  |
|130        |50           |Mozhe      |Atkinson   |2 800 |ST_CLERK  |low  |
|131        |50           |James      |Marlow     |2 500 |ST_CLERK  |low  |
|133        |50           |Jason      |Mallin     |3 300 |ST_CLERK  |low  |
|134        |50           |Michael    |Rogers     |2 900 |ST_CLERK  |low  |
|135        |50           |Ki         |Gee        |2 400 |ST_CLERK  |low  |
|136        |50           |Hazel      |Philtanker |2 200 |ST_CLERK  |low  |
|137        |50           |Renske     |Ladwig     |3 600 |ST_CLERK  |low  |
|138        |50           |Stephen    |Stiles     |3 200 |ST_CLERK  |low  |
|139        |50           |John       |Seo        |2 700 |ST_CLERK  |low  |
|140        |50           |Joshua     |Patel      |2 500 |ST_CLERK  |low  |
|141        |50           |Trenna     |Rajs       |3 500 |ST_CLERK  |low  |
|142        |50           |Curtis     |Davies     |3 100 |ST_CLERK  |low  |
|143        |50           |Randall    |Matos      |2 600 |ST_CLERK  |low  |
|144        |50           |Peter      |Vargas     |2 500 |ST_CLERK  |low  |
|145        |80           |John       |Russell    |14 000|SA_MAN    |high |
|146        |80           |Karen      |Partners   |13 500|SA_MAN    |high |
|147        |80           |Alberto    |Errazuriz  |12 000|SA_MAN    |high |
|148        |80           |Gerald     |Cambrault  |11 000|SA_MAN    |high |
|149        |80           |Eleni      |Zlotkey    |10 500|SA_MAN    |high |
|150        |80           |Peter      |Tucker     |10 000|SA_REP    |midl |
|151        |80           |David      |Bernstein  |9 500 |SA_REP    |midl |
|153        |80           |Christopher|Olsen      |8 000 |SA_REP    |midl |
|154        |80           |Nanette    |Cambrault  |7 500 |SA_REP    |midl |
|155        |80           |Oliver     |Tuvault    |7 000 |SA_REP    |midl |
|156        |80           |Janette    |King       |10 000|SA_REP    |midl |
|157        |80           |Patrick    |Sully      |9 500 |SA_REP    |midl |
