|employee_id|first_name|last_name |hire_date |salary|?column?|
|-----------|----------|----------|----------|------|--------|
|121        |Adam      |Fripp     |10-04-1997|8 200 |        |
|145        |John      |Russell   |01-10-1996|14 000|true    |
|146        |Karen     |Partners  |05-01-1997|13 500|true    |
|147        |Alberto   |Errazuriz |10-03-1997|12 000|true    |
|148        |Gerald    |Cambrault |15-10-1999|11 000|true    |
|149        |Eleni     |Zlotkey   |29-01-2000|10 500|false   |
|150        |Peter     |Tucker    |30-01-1997|10 000|true    |
|151        |David     |Bernstein |24-03-1997|9 500 |true    |
|156        |Janette   |King      |30-01-1996|10 000|true    |
|157        |Patrick   |Sully     |04-03-1996|9 500 |true    |
|158        |Allan     |McEwen    |01-08-1996|9 000 |true    |
|162        |Clara     |Vishney   |11-11-1997|10 500|true    |
|163        |Danielle  |Greene    |19-03-1999|9 500 |false   |
|168        |Lisa      |Ozer      |11-03-1997|11 500|true    |
|169        |Harrison  |Bloom     |23-03-1998|10 000|false   |
|170        |Tayler    |Fox       |24-01-1998|9 600 |false   |
|174        |Ellen     |Abel      |11-05-1996|11 000|true    |
|175        |Alyssa    |Hutton    |19-03-1997|8 800 |true    |
|176        |Jonathon  |Taylor    |24-03-1998|8 600 |false   |
|177        |Jack      |Livingston|23-04-1998|8 400 |false   |
