|employee_id|first_name|last_name|hire_date |?column?|
|-----------|----------|---------|----------|--------|
|100        |Steven    |King     |17-06-1987|true    |
|101        |Neena     |Kochhar  |21-09-1989|true    |
|102        |Lex       |De Haan  |13-01-1993|true    |
|103        |Alexander |Hunold   |03-01-1990|false   |
|104        |Bruce     |Ernst    |21-05-1991|false   |
|108        |Nancy     |Greenberg|17-08-1994|true    |
|109        |Daniel    |Faviet   |16-08-1994|false   |
|115        |Alexander |Khoo     |18-05-1995|false   |
|122        |Payam     |Kaufling |01-05-1995|false   |
|137        |Renske    |Ladwig   |14-07-1995|false   |
|114        |Den       |Raphaely |07-12-1994|true    |
|200        |Jennifer  |Whalen   |17-09-1987|false   |
|203        |Susan     |Mavris   |07-06-1994|false   |
|204        |Hermann   |Baer     |07-06-1994|false   |
|205        |Shelley   |Higgins  |07-06-1994|true    |
|206        |William   |Gietz    |07-06-1994|false   |
